,obj1,obj2,obj3,obj4,obj5,obj7
obj1,10,0,0,3,1,11
obj2,0,6,1,0,6,2
obj3,0,1,86,8,0,4
obj4,3,0,12,8,0,3
obj5,0,8,0,0,7,5
obj7,10,2,4,1,9,43
