,obj1,obj2,obj3,obj4,obj5,obj7
obj1,15,0,0,2,2,6
obj2,0,5,0,0,8,2
obj3,1,1,84,8,0,5
obj4,2,0,9,13,0,2
obj5,2,6,1,0,8,3
obj7,12,3,3,2,8,41
