fold,subject,n_test,acc,sec
0,1,9,0.3333333333333333,229.8
1,2,13,0.5384615384615384,259.5
2,3,7,0.5714285714285714,271.0
3,4,5,0.6,272.1
4,5,19,0.47368421052631576,263.6
5,6,5,0.6,270.8
6,7,9,0.3333333333333333,268.4
7,8,3,0.6666666666666666,271.2
8,9,13,0.7692307692307693,276.6
9,10,13,0.9230769230769231,272.3
10,11,10,0.5,236.1
11,12,12,0.75,225.1
12,13,8,0.625,222.2
13,14,4,0.75,221.3
14,15,3,0.3333333333333333,218.3
15,16,4,0.5,217.9
16,17,34,0.4411764705882353,202.4
17,18,3,0.6666666666666666,217.5
18,19,15,0.5333333333333333,211.9
19,20,11,0.5454545454545454,214.7
20,21,2,0.5,218.2
21,22,2,1.0,217.9
22,23,12,0.5833333333333334,231.6
23,24,7,0.7142857142857143,217.3
24,25,7,0.7142857142857143,215.4
25,26,16,0.5,211.4
