new_id,batch,timestamp,old_run,new_run,old_config,new_config
119,4,2026-07-23T23:17:09.795741,056_g3_disgust_others_plus_s123_v2_dev_p5,119_g3_disgust_others_plus_s123_v2_dev_p5,056_g3_disgust_others_plus_s123,119_g3_disgust_others_plus_s123
120,4,2026-07-23T23:31:37.441882,056_g3_disgust_others_plus_s2024_v2_dev_p5,120_g3_disgust_others_plus_s2024_v2_dev_p5,056_g3_disgust_others_plus_s2024,120_g3_disgust_others_plus_s2024
121,4,2026-08-03T10:33:56.565409,058_r3d_earlystop_s42_v2_dev_p5,121_r3d_earlystop_s42_v2_dev_p5,058_r3d_earlystop_s42,121_r3d_earlystop_s42
122,4,2026-08-03T10:48:27.514688,059_r3d_llrd_s42_v2_dev_p5,122_r3d_llrd_s42_v2_dev_p5,059_r3d_llrd_s42,122_r3d_llrd_s42
123,4,2026-08-03T11:02:30.560593,060_r3d_unfreeze_s42_v2_dev_p5,123_r3d_unfreeze_s42_v2_dev_p5,060_r3d_unfreeze_s42,123_r3d_unfreeze_s42
124,4,2026-08-03T11:33:02.946748,061_r3d_ep60_s42_v2_dev_p5,124_r3d_ep60_s42_v2_dev_p5,061_r3d_ep60_s42,124_r3d_ep60_s42
125,4,2026-08-03T11:44:08.910141,062_r3d_es_llrd_s42_v2_dev_p5,125_r3d_es_llrd_s42_v2_dev_p5,062_r3d_es_llrd_s42,125_r3d_es_llrd_s42
126,4,2026-08-03T11:54:33.132629,063_r3d_es_bigcheck_s42_v2_dev_p5,126_r3d_es_bigcheck_s42_v2_dev_p5,063_r3d_es_bigcheck_s42,126_r3d_es_bigcheck_s42
127,4,2026-08-03T12:06:23.484994,064_r3d_es_loss_s42_v2_dev_p5,127_r3d_es_loss_s42_v2_dev_p5,064_r3d_es_loss_s42,127_r3d_es_loss_s42
128,4,2026-08-03T12:20:04.422976,065_r3d_es_leaky_diag_s42_v2_dev_p5,128_r3d_es_leaky_diag_s42_v2_dev_p5,065_r3d_es_leaky_diag_s42,128_r3d_es_leaky_diag_s42
129,4,2026-08-03T12:32:43.707323,066_r3d_es_leaky_llrd_diag_s42_v2_dev_p5,129_r3d_es_leaky_llrd_diag_s42_v2_dev_p5,066_r3d_es_leaky_llrd_diag_s42,129_r3d_es_leaky_llrd_diag_s42
130,4,2026-08-03T12:46:33.763290,067_r3d_faceparse_full_s42_v2_dev_p5,130_r3d_faceparse_full_s42_v2_dev_p5,067_r3d_faceparse_full_s42,130_r3d_faceparse_full_s42
131,4,2026-08-03T13:03:25.266412,068_r3d_faceparse_autoapex_s42_v2_dev_p5,131_r3d_faceparse_autoapex_s42_v2_dev_p5,068_r3d_faceparse_autoapex_s42,131_r3d_faceparse_autoapex_s42
