run,stem,protocol,split,role,complete,UF1,UAR,ACC,n_folds,n_subjects,n_samples,backbone,input_mode,img_size,T,lr,seed,epochs,elapsed_sec,time
027_twostage_r3d_smoke,r3d_res128,protocol_v1,0-fold,dev,True,0.5707543664065403,0.58,0.6551724137931034,0,0,0,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1102.7,
028_mixup,mixup_r3d,protocol_v1,LOSO 26,dev,True,0.6669470009639715,0.694389971139971,0.6463414634146342,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,5969.5,2026-07-16T01:46:34.417903
029_obj6_r3d,obj6_r3d_res128,protocol_v1,LOSO 26,dev,True,0.5573989432095058,0.5598616037746472,0.6771653543307087,26,0,254,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6001.1,2026-07-16T03:50:39.243841
030_obj6_mc3,obj6_mc3,protocol_v1,LOSO 26,dev,True,0.548901986436446,0.5524456944022161,0.6692913385826772,26,0,254,mc3_18,rgb,128.0,16.0,0.0001,42.0,25.0,6213.4,2026-07-16T05:35:19.858094
031_obj6_focal,obj6_focal,protocol_v1,LOSO 26,dev,True,0.49071608729404154,0.49159459702937963,0.6299212598425197,26,0,254,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6147.4,2026-07-16T07:17:54.883165
032_obj6_4ch,obj6_4ch,protocol_v1,LOSO 26,dev,True,0.5358411647458373,0.5460035133948177,0.6535433070866141,26,0,254,r2plus1d_18,rgb,128.0,16.0,0.0001,42.0,25.0,9435.4,2026-07-16T09:55:18.250182
033_ema_smoke,r3d_ema,protocol_v1,2-fold,dev,True,0.5654761904761905,0.62,0.5909090909090909,2,0,22,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,512.8,2026-07-16T14:54:59.608402
034_ema,r3d_ema,protocol_v1,LOSO 26,dev,True,0.7093997571496822,0.731033189033189,0.6829268292682927,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6091.9,2026-07-16T16:36:55.008619
035_freezebn,r3d_freezebn,protocol_v1,LOSO 26,dev,True,0.5978440401631009,0.6187459114959115,0.573170731707317,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6266.7,2026-07-16T18:22:06.622204
036_resnetgru_smoke,resnetgru,protocol_v1,2-fold,dev,True,0.6171428571428572,0.7,0.6363636363636364,2,0,22,resnet_gru,rgb,128.0,16.0,0.0001,42.0,25.0,328.1,2026-07-16T18:29:25.461355
037_resnetgru,resnetgru,protocol_v1,LOSO 26,dev,True,0.6863652618135376,0.7175651755651755,0.6504065040650406,26,0,246,resnet_gru,rgb,128.0,16.0,0.0001,42.0,25.0,5636.4,2026-07-16T20:03:37.921429
038_res160_smoke,r3d_res160,protocol_v1,2-fold,dev,True,0.6392717086834734,0.6799999999999999,0.6818181818181818,2,0,22,r3d_18,rgb,160.0,16.0,0.0001,42.0,25.0,786.9,2026-07-16T20:20:44.936096
039_res160,r3d_res160,protocol_v1,LOSO 26,dev,True,0.6657299340464033,0.680248556998557,0.6341463414634146,26,0,246,r3d_18,rgb,160.0,16.0,0.0001,42.0,25.0,9920.9,2026-07-16T23:05:04.286735
040_snapshot_qsmoke,r3d_snapshot,protocol_v1,2-fold,dev,True,0.6321303258145363,0.6599999999999999,0.6818181818181818,2,0,22,r3d_18,rgb,128.0,16.0,0.0002,42.0,40.0,740.7,2026-07-16T23:18:05.826770
041_snapshot,r3d_snapshot,protocol_v1,LOSO 26,dev,True,0.6957604965221378,0.7018875661375661,0.6707317073170732,26,0,246,r3d_18,rgb,128.0,16.0,0.0002,42.0,40.0,9454.4,2026-07-17T01:55:48.008493
042_bnadapt_qsmoke,r3d_bnadapt,protocol_v1,2-fold,dev,True,0.584126984126984,0.6199999999999999,0.6363636363636364,2,0,22,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,469.5,2026-07-17T02:03:45.540217
043_bnadapt,r3d_bnadapt,protocol_v1,LOSO 26,dev,True,0.6804904712678045,0.6979279701779701,0.6585365853658537,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6042.5,2026-07-17T03:44:35.662311
044_seqflow_qsmoke,r3d_seqflow,protocol_v1,2-fold,dev,True,0.47489177489177486,0.5733333333333333,0.5454545454545454,2,0,22,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,472.7,2026-07-17T03:52:36.465622
045_seqflow,r3d_seqflow,protocol_v1,LOSO 26,dev,True,0.5601785949587971,0.597957671957672,0.524390243902439,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6143.2,2026-07-17T05:35:07.376128
046_erase_qsmoke,r3d_erase,protocol_v1,2-fold,dev,True,0.5669047619047619,0.62,0.5909090909090909,2,0,22,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,473.8,2026-07-17T05:43:10.003100
047_erase,r3d_erase,protocol_v1,LOSO 26,dev,True,0.6936466444330833,0.7076625781625782,0.6707317073170732,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6140.2,2026-07-17T07:25:38.114415
048_noweight_qsmoke,r3d_noweight,protocol_v1,2-fold,dev,True,0.626984126984127,0.6599999999999999,0.6818181818181818,2,0,22,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,469.6,2026-07-17T07:44:46.622266
049_noweight,r3d_noweight,protocol_v1,LOSO 26,dev,True,0.702658371040724,0.6996779701779701,0.6747967479674797,26,0,246,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,6045.2,2026-07-17T09:25:39.790871
050_vivit_rgb_qsmoke,vivit_rgb,protocol_v1,2-fold,dev,True,0.2965497076023392,0.38,0.2727272727272727,2,0,22,vivit,rgb,128.0,32.0,2e-05,42.0,20.0,3987.2,2026-07-18T23:55:24.497732
051_vivit_rgb,vivit_rgb,protocol_v1,LOSO 26,dev,True,0.292150515176831,0.3094237614237615,0.35772357723577236,26,0,246,vivit,rgb,128.0,32.0,6e-05,42.0,24.0,63277.9,2026-07-19T17:45:00.735387
052_vivit_flow,vivit_flow,protocol_v1,LOSO 26,dev,True,0.4905224106410147,0.49468987493987493,0.5,26,0,246,vivit,rgb,128.0,32.0,6e-05,42.0,24.0,64195.3,2026-07-20T11:36:39.236146
053_r3d_diff,r3d_diff_onsetfree,protocol_v1,LOSO 26,dev,True,0.5897260190586128,0.6077257094757095,0.5609756097560976,26,0,246,r3d_18,diff,112.0,16.0,0.0001,42.0,25.0,5093.0,2026-07-20T13:47:10.489312
054_r3d_diff_randstart,r3d_diff_randstart,protocol_v1,LOSO 26,dev,True,0.45553665349930206,0.48562987012987013,0.44715447154471544,26,0,246,r3d_18,diff,112.0,16.0,0.0001,42.0,25.0,4894.9,2026-07-20T15:09:34.374061
055_r3d_diff_res128,r3d_diff_res128,protocol_v1,LOSO 26,dev,True,0.6012006288255102,0.5927869167869168,0.5813008130081301,26,0,246,r3d_18,diff,128.0,16.0,0.0001,42.0,25.0,6088.8,2026-07-20T16:52:15.726484
056_r3d_diff_evalshift,r3d_diff_evalshift,protocol_v1,LOSO 26,dev,True,0.5773200996405096,0.5883526936026937,0.556910569105691,26,0,246,r3d_18,diff,112.0,16.0,0.0001,42.0,25.0,4847.0,2026-07-20T18:13:52.826081
057_mc3_diff,mc3_diff_res128,protocol_v1,LOSO 26,dev,True,0.6086392667205842,0.6011593314093314,0.5934959349593496,26,0,246,mc3_18,diff,128.0,16.0,0.0001,42.0,25.0,6469.8,2026-07-20T20:16:03.660881
058_r2plus1d_diff,r2plus1d_diff_res128,protocol_v1,LOSO 26,dev,True,0.5784876171047278,0.573785113035113,0.556910569105691,26,0,246,r2plus1d_18,diff,128.0,16.0,0.0001,42.0,25.0,9047.2,2026-07-20T22:47:49.760868
059_r3d_v2_dev_smoke2,r3d_res128,protocol_v2,1-fold,dev,False,0.4931419457735247,0.576374269005848,0.5714285714285714,1,5,35,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,346.01321172714233,2026-07-22T14:13:08.241564
060_r3d_v2_dev,r3d_res128,protocol_v2,grouped 4-fold,dev,True,0.590173805531954,0.6040476878960939,0.5527638190954773,4,21,199,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1708.3278150558472,2026-07-22T14:42:24.468726
061_r3d_v2_dev_p5,r3d_res128,protocol_v2,grouped 4-fold,dev,True,0.6816450314669259,0.7119666471239658,0.6822916666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1687.994967699051,2026-07-22T14:55:15.876052
062_r3d_flow_comp_v2_dev_p5,r3d_flow_translation_compensation,protocol_v2,grouped 4-fold,dev,True,0.5987012987012986,0.6217130075767276,0.6041666666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1973.1936721801758,2026-07-22T15:29:48.082879
063_fusion_baseline_iter40_90_10,fusion_baseline_iter40_90_10,fusion,0-fold,dev,True,0.6562231442201357,0.6849185945428694,0.6614583333333334,0,0,192,,,,,,,,,2026-07-22T15:38:22.571310
064_fusion_baseline_iter40_70_30,fusion_baseline_iter40_70_30,fusion,0-fold,dev,True,0.6507163273704264,0.6718240303338657,0.65625,0,0,192,,,,,,,,,2026-07-22T15:38:22.665309
065_fusion_baseline_iter40_80_20,fusion_baseline_iter40_80_20,fusion,0-fold,dev,True,0.6547027523431381,0.6826197439681567,0.65625,0,0,192,,,,,,,,,2026-07-22T15:38:23.819576
066_r3d_onset_apex_corrected_v2_dev_p5,r3d_onset_apex_corrected,protocol_v2,grouped 4-fold,dev,True,0.6994697497624327,0.7087905651434592,0.6927083333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1525.0419571399689,2026-07-22T16:05:53.666665
067_fusion_baseline_iter43_25full_75apex,fusion_baseline_iter43_25full_75apex,fusion,0-fold,dev,True,0.7038995130029612,0.7230756055429388,0.6979166666666666,0,0,192,,,,,,,,,2026-07-22T16:07:52.740396
068_fusion_baseline_iter43_50full_50apex,fusion_baseline_iter43_50full_50apex,fusion,0-fold,dev,True,0.7104488993636281,0.7344794453467033,0.7083333333333334,0,0,192,,,,,,,,,2026-07-22T16:07:52.918394
069_fusion_baseline_iter43_75full_25apex,fusion_baseline_iter43_75full_25apex,fusion,0-fold,dev,True,0.6913064751122644,0.7154318262990842,0.6979166666666666,0,0,192,,,,,,,,,2026-07-22T16:07:53.030396
070_r3d_res160_protocol_v2_dev_p5,r3d_res160_protocol,protocol_v2,grouped 4-fold,dev,True,0.6254298285296762,0.656180210656837,0.625,4,21,192,r3d_18,rgb,160.0,16.0,0.0001,42.0,25.0,2296.443783760071,2026-07-22T16:48:13.671337
071_fusion_champion_iter44_80_20,fusion_champion_iter44_80_20,fusion,0-fold,dev,True,0.7031792587365295,0.7286378063655294,0.703125,0,0,192,,,,,,,,,2026-07-22T16:49:20.473991
072_fusion_champion_iter44_90_10,fusion_champion_iter44_90_10,fusion,0-fold,dev,True,0.7141510416944499,0.7439453006543435,0.7083333333333334,0,0,192,,,,,,,,,2026-07-22T16:49:20.478014
073_seqflow_v2_dev_p5,r3d_seqflow,protocol_v2,grouped 4-fold,dev,True,0.3684469813901644,0.42146731988705666,0.3697916666666667,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1607.1805040836334,2026-07-22T17:17:37.329993
074_fusion_champion_seqflow_95_05,fusion_champion_seqflow_95_05,fusion,0-fold,dev,True,0.7007944705822925,0.7240980594322732,0.6979166666666666,0,0,192,,,,,,,,,2026-07-22T17:18:27.850225
075_ema_v2_dev_p5,r3d_ema,protocol_v2,grouped 4-fold,dev,True,0.6725177369695642,0.7016921844920807,0.6614583333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1782.1046583652496,2026-07-22T17:49:28.370904
076_fusion_champion_ema_80_20,fusion_champion_ema_80_20,fusion,0-fold,dev,True,0.7070602191965694,0.7318476949721349,0.7083333333333334,0,0,192,,,,,,,,,2026-07-22T17:50:18.010244
077_fusion_champion_ema_90_10,fusion_champion_ema_90_10,fusion,0-fold,dev,True,0.7141510416944499,0.7439453006543435,0.7083333333333334,0,0,192,,,,,,,,,2026-07-22T17:50:18.018244
078_r3d_s123_v2_dev_p5,r3d_s123,protocol_v2,grouped 4-fold,dev,True,0.6163006851789341,0.6573127326311439,0.6197916666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,123.0,25.0,1710.2938151359558,2026-07-22T18:20:23.981833
