,obj1,obj2,obj3,obj4,obj5,obj7
obj1,12,0,0,3,0,10
obj2,1,7,0,0,6,1
obj3,1,1,91,3,0,3
obj4,3,0,13,10,0,0
obj5,0,6,0,0,10,4
obj7,11,2,4,1,9,42
