=== PROTOCOL V2 iter_106_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5 ===
time: 2026-08-07T02:47:12.051284 | role: dev
device: cuda (NVIDIA GeForce RTX 3060)
platform: Windows-10-10.0.26200-SP0 | torch 2.6.0+cu124
loading 246 cached arrays
segmentation attention: 6 region per sampel dari regionmask144 (mode=static)
fixed split loaded: 21 development subjects, 5 sealed audit subjects
!! LOSO over ALL 26 subjects -- AUDIT SEAL BROKEN. This number is comparable to published LOSO results, and the audit split can no longer serve as an untouched final check.
fold 1/26: 25 train subjects / 1 validation subjects; 237 train / 9 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=173 n_check=64
      ep17 train_loss=0.9614 train_acc=0.700 | val_loss=1.4659 val_acc=0.444
      ep18 train_loss=0.8818 train_acc=0.730 | val_loss=1.1907 val_acc=0.444
      ep19 train_loss=0.8915 train_acc=0.759 | val_loss=1.1454 val_acc=0.444
      ep20 train_loss=0.9060 train_acc=0.751 | val_loss=1.0599 val_acc=0.444
      ep21 train_loss=0.8492 train_acc=0.797 | val_loss=1.0997 val_acc=0.444
      ep22 train_loss=0.8189 train_acc=0.781 | val_loss=1.0815 val_acc=0.556
      ep23 train_loss=0.8259 train_acc=0.802 | val_loss=1.0723 val_acc=0.444
      ep24 train_loss=0.8126 train_acc=0.776 | val_loss=1.1380 val_acc=0.444
      ep25 train_loss=0.7909 train_acc=0.802 | val_loss=1.1802 val_acc=0.444
      ep26 train_loss=0.7935 train_acc=0.806 | val_loss=1.1622 val_acc=0.333
      ep27 train_loss=0.7871 train_acc=0.827 | val_loss=1.1714 val_acc=0.333
      ep28 train_loss=0.7780 train_acc=0.844 | val_loss=1.2006 val_acc=0.333
      saved re-evaluation checkpoint fold0_ep28.pt
      ep29 train_loss=0.7617 train_acc=0.819 | val_loss=1.1471 val_acc=0.333
      saved re-evaluation checkpoint fold0_ep29.pt
      ep30 train_loss=0.7647 train_acc=0.810 | val_loss=1.1261 val_acc=0.333
      saved re-evaluation checkpoint fold0_ep30.pt
fold result: UF1=0.1600 UAR=0.1667 ACC=0.3333
fold 2/26: 25 train subjects / 1 validation subjects; 233 train / 13 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=169 n_check=64
      [probe] ep00 train_loss=1.8241 train_acc=0.331 check=-1.5844 best=-1.5844@ep00
      [probe] ep01 train_loss=1.7968 train_acc=0.325 check=-1.3822 best=-1.3822@ep01
      [probe] ep02 train_loss=1.7531 train_acc=0.361 check=-1.2507 best=-1.2507@ep02
      [probe] ep03 train_loss=1.7041 train_acc=0.355 check=-1.1815 best=-1.1815@ep03
      [probe] ep04 train_loss=1.6545 train_acc=0.391 check=-1.4108 best=-1.1815@ep03
      [probe] ep05 train_loss=1.5754 train_acc=0.426 check=-1.2742 best=-1.1815@ep03
      [probe] ep06 train_loss=1.6234 train_acc=0.467 check=-1.2192 best=-1.1815@ep03
      [probe] ep07 train_loss=1.5948 train_acc=0.456 check=-1.2409 best=-1.1815@ep03
      [probe] ep08 train_loss=1.5790 train_acc=0.396 check=-1.1709 best=-1.1709@ep08
      [probe] ep09 train_loss=1.4967 train_acc=0.497 check=-1.1674 best=-1.1674@ep09
      [probe] ep10 train_loss=1.4698 train_acc=0.509 check=-1.0859 best=-1.0859@ep10
      [probe] ep11 train_loss=1.4342 train_acc=0.556 check=-1.0849 best=-1.0849@ep11
      [probe] ep12 train_loss=1.4509 train_acc=0.574 check=-1.0573 best=-1.0573@ep12
      [probe] ep13 train_loss=1.3880 train_acc=0.521 check=-1.0893 best=-1.0573@ep12
      [probe] ep14 train_loss=1.3782 train_acc=0.562 check=-1.0868 best=-1.0573@ep12
      [probe] ep15 train_loss=1.3235 train_acc=0.574 check=-1.1654 best=-1.0573@ep12
      [probe] ep16 train_loss=1.2468 train_acc=0.609 check=-0.9065 best=-0.9065@ep16
      [probe] ep17 train_loss=1.2717 train_acc=0.639 check=-0.8843 best=-0.8843@ep17
      [probe] ep18 train_loss=1.2950 train_acc=0.633 check=-1.0166 best=-0.8843@ep17
      [probe] ep19 train_loss=1.2387 train_acc=0.651 check=-0.9003 best=-0.8843@ep17
      [probe] ep20 train_loss=1.2724 train_acc=0.651 check=-0.9090 best=-0.8843@ep17
      [probe] ep21 train_loss=1.2408 train_acc=0.669 check=-1.0631 best=-0.8843@ep17
      [probe] ep22 train_loss=1.2592 train_acc=0.692 check=-1.0197 best=-0.8843@ep17
      [probe] ep23 train_loss=1.1866 train_acc=0.627 check=-0.8766 best=-0.8766@ep23
      [probe] ep24 train_loss=1.2685 train_acc=0.686 check=-1.0070 best=-0.8766@ep23
      [probe] ep25 train_loss=1.2065 train_acc=0.657 check=-0.9665 best=-0.8766@ep23
      [probe] ep26 train_loss=1.2959 train_acc=0.592 check=-0.8973 best=-0.8766@ep23
      [probe] ep27 train_loss=1.2523 train_acc=0.639 check=-0.8785 best=-0.8766@ep23
      [probe] ep28 train_loss=1.2134 train_acc=0.663 check=-0.8766 best=-0.8766@ep23
      [probe] ep29 train_loss=1.1223 train_acc=0.722 check=-0.9248 best=-0.8766@ep23
      [probe] ep30 train_loss=1.0804 train_acc=0.793 check=-0.9961 best=-0.8766@ep23
      [probe] ep31 train_loss=1.1255 train_acc=0.728 check=-0.9443 best=-0.8766@ep23
      [probe] ep32 train_loss=1.1047 train_acc=0.799 check=-1.0484 best=-0.8766@ep23
      [probe] ep33 train_loss=1.1282 train_acc=0.734 check=-0.9988 best=-0.8766@ep23
      [probe] ep34 train_loss=1.0542 train_acc=0.811 check=-0.9582 best=-0.8766@ep23
      [probe] ep35 train_loss=1.0494 train_acc=0.769 check=-0.9697 best=-0.8766@ep23
      [probe] refit epochs = 24 (check=-0.8766)
      ep00 train_loss=1.6611 train_acc=0.262 | val_loss=1.3510 val_acc=0.615
      ep01 train_loss=1.5477 train_acc=0.408 | val_loss=1.1467 val_acc=0.462
      ep02 train_loss=1.4840 train_acc=0.395 | val_loss=1.0965 val_acc=0.538
      ep03 train_loss=1.3222 train_acc=0.511 | val_loss=1.6742 val_acc=0.308
      ep04 train_loss=1.3172 train_acc=0.459 | val_loss=1.7536 val_acc=0.231
      ep05 train_loss=1.2994 train_acc=0.494 | val_loss=1.9752 val_acc=0.308
      ep06 train_loss=1.1431 train_acc=0.597 | val_loss=1.8202 val_acc=0.385
      ep07 train_loss=1.1550 train_acc=0.584 | val_loss=1.9788 val_acc=0.385
      ep08 train_loss=1.0792 train_acc=0.597 | val_loss=1.7601 val_acc=0.385
      ep09 train_loss=1.1240 train_acc=0.584 | val_loss=1.6617 val_acc=0.462
      ep10 train_loss=1.0305 train_acc=0.635 | val_loss=2.1088 val_acc=0.231
      ep11 train_loss=1.0549 train_acc=0.627 | val_loss=1.9922 val_acc=0.308
      ep12 train_loss=1.0104 train_acc=0.721 | val_loss=1.5803 val_acc=0.385
      ep13 train_loss=0.9634 train_acc=0.704 | val_loss=1.6133 val_acc=0.385
      ep14 train_loss=0.9605 train_acc=0.687 | val_loss=1.8015 val_acc=0.385
      ep15 train_loss=1.0141 train_acc=0.691 | val_loss=1.6035 val_acc=0.462
      ep16 train_loss=0.8825 train_acc=0.738 | val_loss=1.6686 val_acc=0.462
